customer_id,customer_name,address,phone_number,state,country
1,Melinda Robinson,17955 Cobb Lights Apt. 597,001-938-503-9629x2933,Adelaide,Australia
2,Sara Calderon,199 Melissa Streets,4816277101,Rome,Europe
3,James Davis,76598 Sophia Way,(513)373-9620x660,Madrid,Europe
4,Dennis Krause,5904 Watson Manors Suite 335,889.720.4318x55357,Dubai,Middle East
5,Timothy Herring,913 Joshua Trace Suite 944,383-505-9252x25213,Kolkata,India
6,Monica Harris,874 Nicholas Inlet Apt. 557,2054492670,Delhi,India
7,Cassidy Booth,6656 Hawkins Alley,(282)736-9469,North-East Region,Singapore
8,Patricia Wright,93232 Karen Square,542.353.7263x35370,Novosibirsk,Russia
9,Gregory Romero,02304 Fletcher Heights,4077947147,Paris,Europe
10,Courtney Morgan,3061 Angie Springs Suite 366,985.618.4433,London,Europe
11,Daniel Howard,20973 Larson Tunnel,+1-405-722-0331x779,Madrid,Europe
12,Duane Phillips,2066 Macdonald Wall Suite 884,001-921-486-2108,Doha,Middle East
13,Lisa Briggs,136 Robinson Locks,539-907-2057x640,Paris,Europe
14,Seth Dawson,0717 Michaela Square,+1-829-639-0699x525,Dubai,Middle East
15,Christopher Clayton,243 Jones Mount Apt. 874,001-584-979-2448x1125,Adelaide,Australia
16,Amanda Valdez,194 Ronald Hills Apt. 234,553.702.7387x48587,Chennai,India
17,Samantha Mcdonald,703 Margaret Lodge Apt. 906,972-286-8428x2168,Abu Dhabi,Middle East
18,Tammy Welch,3430 Doris Oval,8623109300,Doha,Middle East
19,Diane Harris,73597 Michelle Crossing,881.486.3238x80197,East Region,Singapore
20,Joshua Martinez,9418 Robertson Squares Suite 004,(630)445-0733x758,Moscow,Russia
21,Joseph Robertson,4370 Mario Mills,+1-618-919-3358,Berlin,Europe
22,Rhonda Cox,6918 Gardner Wells,001-809-291-6090x3465,Berlin,Europe
23,Rebecca Rodriguez,49675 Gordon Course Apt. 008,917-587-0248,East Region,Singapore
24,Henry Holt,6963 Miguel Ports Apt. 532,+1-230-266-9609x62037,West Region,Singapore
